transaction_id,transaction_time,transaction_amount,merchant_category,location,card_type,transaction_type,device_type,is_international,previous_fraud,fraud_label
TXN000001,2025-12-09T09:16:33.432Z,433.38,Dining,Paris,MasterCard,Online,Desktop,false,false,0
TXN000002,2026-01-23T20:19:33.742Z,1302.04,Travel,Toronto,Visa,ATM,Tablet,false,false,0
TXN000003,2026-02-15T05:13:17.310Z,379.94,Entertainment,Paris,Amex,POS,Mobile,false,false,0
TXN000004,2026-01-31T18:28:22.405Z,237.70,Entertainment,Paris,Discover,ATM,Mobile,true,false,0
TXN000005,2026-02-16T04:21:03.791Z,668.11,Entertainment,Dubai,MasterCard,POS,Desktop,false,false,0
TXN000006,2026-02-14T15:47:29.448Z,1420.52,Groceries,Paris,MasterCard,POS,Mobile,false,false,0
TXN000007,2026-01-11T05:43:32.331Z,653.92,Travel,Tokyo,Visa,POS,Desktop,false,false,0
TXN000008,2025-12-21T15:09:52.709Z,1075.66,Entertainment,New York,Visa,Online,Tablet,false,false,0
TXN000009,2026-02-21T07:33:46.671Z,197.67,Travel,Berlin,Amex,POS,Desktop,false,false,0
TXN000010,2026-01-01T23:18:09.868Z,1158.19,Utilities,Sydney,MasterCard,Online,Mobile,false,false,0
TXN000011,2026-02-23T18:01:08.267Z,1469.68,Online,Dubai,Visa,ATM,Mobile,false,false,0
TXN000012,2025-11-29T11:24:06.033Z,175.43,Dining,New York,Amex,POS,Desktop,false,false,0
TXN000013,2025-12-29T11:51:58.419Z,81.95,Utilities,London,Discover,POS,Mobile,false,false,0
TXN000014,2025-11-19T11:49:02.176Z,1245.64,Groceries,New York,Amex,Online,Desktop,true,false,0
TXN000015,2025-12-06T17:33:59.130Z,978.04,Travel,Dubai,Discover,ATM,Mobile,false,false,0
TXN000016,2026-02-05T10:54:39.202Z,205.27,Dining,London,Discover,ATM,Desktop,false,false,0
TXN000017,2025-12-27T18:52:23.613Z,573.53,Groceries,London,Discover,POS,Tablet,false,false,0
TXN000018,2025-12-20T09:08:14.247Z,347.15,Online,New York,Visa,Online,Desktop,false,false,0
TXN000019,2025-11-13T00:18:28.272Z,1337.81,Retail,Paris,Discover,Online,Tablet,false,false,0
TXN000020,2025-11-13T21:48:36.112Z,720.11,Utilities,London,MasterCard,Online,Desktop,false,false,0
TXN000021,2026-02-26T14:49:04.850Z,882.82,Dining,Toronto,Visa,Online,Tablet,false,false,0
TXN000022,2026-02-07T13:28:50.811Z,403.92,Dining,Berlin,MasterCard,POS,Mobile,false,false,0
TXN000023,2025-12-01T14:26:11.888Z,302.16,Dining,London,Discover,ATM,Desktop,false,false,0
TXN000024,2026-01-04T09:54:34.067Z,1365.46,Retail,Toronto,Visa,POS,Desktop,false,false,0
TXN000025,2026-02-15T03:43:59.149Z,771.72,Retail,London,Visa,Online,Desktop,false,false,0
TXN000026,2026-01-25T05:13:53.598Z,257.08,Travel,Toronto,Visa,ATM,Mobile,false,false,0
TXN000027,2026-01-14T15:42:24.057Z,1276.14,Online,Berlin,Discover,ATM,Tablet,false,false,0
TXN000028,2026-01-10T12:03:16.375Z,1474.92,Utilities,Tokyo,MasterCard,ATM,Desktop,false,false,0
TXN000029,2026-01-18T05:34:38.851Z,282.23,Utilities,Sydney,Amex,POS,Tablet,false,false,0
TXN000030,2026-02-04T04:22:58.876Z,540.50,Travel,London,Visa,POS,Desktop,false,false,0
TXN000031,2025-12-31T00:21:22.563Z,1402.28,Online,Dubai,Amex,Online,Mobile,false,false,0
TXN000032,2026-02-02T00:13:18.377Z,414.84,Dining,Paris,Visa,Online,Mobile,false,false,0
TXN000033,2025-12-18T16:27:10.238Z,788.26,Travel,Sydney,MasterCard,POS,Mobile,false,false,0
TXN000034,2025-12-30T17:27:09.664Z,211.84,Entertainment,Berlin,Amex,Online,Mobile,false,false,0
TXN000035,2025-12-07T18:43:59.423Z,541.42,Travel,Paris,Discover,ATM,Tablet,false,false,0
TXN000036,2025-12-15T07:40:58.609Z,1207.24,Travel,Toronto,Amex,Online,Desktop,false,false,0
TXN000037,2026-02-16T14:57:01.514Z,1449.05,Travel,Toronto,Visa,ATM,Mobile,false,false,0
TXN000038,2025-11-27T08:28:25.040Z,95.77,Online,Berlin,Discover,ATM,Mobile,false,false,0
TXN000039,2025-11-30T03:01:29.572Z,320.82,Travel,Tokyo,Visa,ATM,Desktop,false,false,0
TXN000040,2026-01-28T14:47:36.107Z,3286.59,Entertainment,London,Visa,Online,Desktop,true,false,1
TXN000041,2025-11-25T07:02:14.062Z,365.43,Dining,Sydney,MasterCard,ATM,Tablet,true,false,0
TXN000042,2025-12-09T22:27:39.018Z,1317.44,Dining,Dubai,Visa,ATM,Tablet,false,false,0
TXN000043,2026-01-26T23:47:05.922Z,161.93,Retail,Sydney,Visa,POS,Tablet,false,false,0
TXN000044,2025-12-09T08:55:24.836Z,667.66,Travel,Sydney,Amex,ATM,Desktop,true,false,0
TXN000045,2026-02-12T01:23:05.215Z,854.91,Retail,Berlin,MasterCard,POS,Desktop,false,false,0
TXN000046,2025-11-16T15:53:08.292Z,1279.07,Groceries,Dubai,Visa,Online,Mobile,false,false,0
TXN000047,2026-01-07T07:05:35.514Z,251.86,Travel,Sydney,Amex,POS,Desktop,false,false,0
TXN000048,2025-12-23T01:38:21.635Z,765.71,Online,Paris,MasterCard,ATM,Mobile,true,false,0
TXN000049,2026-01-08T07:26:42.380Z,1230.59,Dining,Sydney,MasterCard,POS,Desktop,false,false,0
TXN000050,2026-01-25T02:06:47.091Z,1265.09,Dining,London,Visa,POS,Tablet,false,false,0
TXN000051,2026-02-09T19:52:09.384Z,820.56,Dining,London,Amex,POS,Mobile,false,false,0
TXN000052,2025-11-23T17:01:10.599Z,918.77,Travel,London,Amex,ATM,Mobile,false,false,0
TXN000053,2026-01-29T14:01:22.164Z,3882.88,Online,Dubai,Visa,Online,Desktop,false,false,1
TXN000054,2025-11-23T02:21:30.224Z,1377.49,Entertainment,London,MasterCard,POS,Mobile,false,false,0
TXN000055,2025-11-18T10:01:32.819Z,1316.90,Dining,Paris,Visa,ATM,Mobile,false,false,0
TXN000056,2026-01-18T10:51:44.799Z,995.98,Utilities,Sydney,MasterCard,Online,Desktop,false,false,0
TXN000057,2026-01-06T14:14:10.151Z,384.47,Travel,Dubai,MasterCard,Online,Mobile,false,false,0
TXN000058,2026-01-29T19:13:38.458Z,169.44,Groceries,Tokyo,MasterCard,Online,Tablet,false,false,0
TXN000059,2025-11-30T02:10:49.196Z,1209.99,Online,Dubai,Amex,POS,Desktop,false,false,0
TXN000060,2026-01-28T23:25:54.828Z,1201.25,Groceries,Paris,Amex,POS,Mobile,false,false,0
TXN000061,2026-01-23T14:08:26.705Z,25.82,Online,Paris,MasterCard,POS,Tablet,false,false,0
TXN000062,2026-01-12T22:07:07.811Z,1128.28,Dining,Tokyo,MasterCard,ATM,Desktop,true,false,0
TXN000063,2026-02-05T08:09:36.502Z,1108.67,Online,Paris,MasterCard,Online,Desktop,false,false,0
