transaction_id,transaction_time,transaction_amount,merchant_category,location,card_type,transaction_type,device_type,is_international,previous_fraud,fraud_label,fraud_prediction,fraud_probability
TXN-000001,2025-12-12T01:35:36.729Z,25.76,Online Shopping,Chicago,Discover,ATM,ATM Machine,false,false,0,,
TXN-000002,2026-02-04T06:42:55.729Z,177.36,Travel,Chicago,Visa,Online,POS Terminal,false,false,0,,
TXN-000003,2026-01-16T04:38:15.729Z,146.71,Entertainment,Denver,Amex,Online,ATM Machine,false,false,0,,
TXN-000004,2026-01-07T14:42:00.729Z,456.02,Electronics,Miami,Mastercard,ATM,Web Browser,true,false,0,,
TXN-000005,2025-12-17T08:44:02.729Z,479.62,Gas Station,Chicago,Discover,Contactless,Web Browser,false,false,0,,
TXN-000006,2026-01-01T09:43:52.729Z,340.07,Grocery,Lagos,Discover,Contactless,Web Browser,false,false,0,,
TXN-000007,2026-03-03T00:47:55.729Z,422.56,ATM Withdrawal,Tokyo,Visa,Online,Web Browser,false,false,0,,
TXN-000008,2026-02-07T01:08:41.729Z,362.98,Online Shopping,Miami,Amex,Contactless,POS Terminal,false,false,0,,
TXN-000009,2026-01-19T15:57:19.729Z,206.88,Entertainment,Atlanta,Amex,In-Store,Web Browser,false,false,0,,
TXN-000010,2025-12-31T04:41:21.729Z,305.66,Clothing,Miami,Amex,Contactless,Web Browser,false,false,0,,
TXN-000011,2025-12-17T05:56:21.729Z,313.63,Entertainment,Chicago,Mastercard,Online,ATM Machine,false,false,0,,
TXN-000012,2026-01-24T03:22:18.729Z,209.89,Entertainment,Seattle,Visa,Online,ATM Machine,false,false,0,,
TXN-000013,2026-03-06T14:17:10.729Z,135.18,Clothing,Boston,Visa,Online,Web Browser,false,false,0,,
TXN-000014,2025-12-21T01:16:50.729Z,65.71,Electronics,Lagos,Discover,Contactless,Web Browser,false,false,0,,
TXN-000015,2026-02-08T07:34:30.729Z,137.31,Online Shopping,Lagos,Discover,Contactless,ATM Machine,true,true,0,,
TXN-000016,2026-02-03T06:10:50.729Z,390.53,ATM Withdrawal,Dubai,Visa,Contactless,Mobile App,false,false,0,,
TXN-000017,2026-02-03T13:31:21.729Z,386.51,Restaurant,Los Angeles,Amex,Online,Mobile App,false,false,0,,
TXN-000018,2026-02-24T07:17:08.729Z,46.56,Electronics,Seattle,Amex,Contactless,Mobile App,false,false,0,,
TXN-000019,2026-01-03T04:43:54.729Z,90.5,Restaurant,Seattle,Amex,Contactless,POS Terminal,false,false,0,,
TXN-000020,2026-02-22T04:52:02.729Z,497.36,Entertainment,San Francisco,Visa,Online,POS Terminal,true,false,0,,
TXN-000021,2025-12-20T10:58:40.729Z,27.82,Grocery,Boston,Visa,Contactless,Mobile App,false,false,0,,
TXN-000022,2026-01-30T10:55:54.729Z,497.28,ATM Withdrawal,Chicago,Discover,Contactless,ATM Machine,true,false,0,,
