transaction_id,transaction_time,transaction_amount,merchant_category,location,card_type,transaction_type,device_type,is_international,previous_fraud,fraud_label,fraud_prediction,fraud_probability
TXN-000001,2026-01-27T02:51:30.720Z,444.14,Entertainment,London,Mastercard,Online,ATM Machine,false,false,0,,
TXN-000002,2026-02-13T08:25:36.720Z,249.11,Travel,London,Discover,ATM,Web Browser,false,false,0,,
TXN-000003,2026-02-07T20:41:29.720Z,4254.72,Gas Station,Dubai,Discover,ATM,Mobile App,true,false,1,,
TXN-000004,2025-12-21T02:07:39.720Z,16.78,ATM Withdrawal,Tokyo,Amex,In-Store,Web Browser,false,false,0,,
TXN-000005,2025-12-15T04:59:58.720Z,189.8,ATM Withdrawal,San Francisco,Discover,Contactless,POS Terminal,false,false,0,,
TXN-000006,2025-12-19T01:20:42.720Z,186.34,Grocery,Los Angeles,Mastercard,In-Store,Mobile App,false,false,0,,
TXN-000007,2026-03-01T00:35:04.720Z,128.31,Healthcare,Seattle,Visa,Contactless,Web Browser,false,false,0,,
TXN-000008,2026-01-25T05:26:44.720Z,390.85,Entertainment,Houston,Visa,Contactless,ATM Machine,false,false,0,,
TXN-000009,2026-01-23T00:58:28.720Z,400.09,Entertainment,Miami,Amex,ATM,Web Browser,false,false,0,,
TXN-000010,2025-12-27T06:22:28.720Z,433.94,Clothing,San Francisco,Discover,ATM,POS Terminal,true,false,0,,
TXN-000011,2025-12-18T03:37:19.720Z,387.21,Entertainment,New York,Amex,ATM,ATM Machine,false,false,0,,
TXN-000012,2026-01-30T13:09:39.720Z,136.15,Entertainment,Miami,Visa,Contactless,POS Terminal,false,false,0,,
TXN-000013,2025-12-21T04:35:16.720Z,438.7,Clothing,Miami,Discover,In-Store,Mobile App,false,false,0,,
TXN-000014,2026-01-16T09:20:54.720Z,487.86,Entertainment,New York,Visa,Online,Mobile App,false,false,0,,
TXN-000015,2025-12-31T13:07:11.720Z,141.9,Grocery,San Francisco,Amex,Contactless,Mobile App,true,false,0,,
TXN-000016,2026-01-18T01:14:19.720Z,122.3,Electronics,Seattle,Amex,In-Store,POS Terminal,false,false,0,,
TXN-000017,2026-02-04T12:00:34.720Z,401.24,Healthcare,Denver,Visa,Online,POS Terminal,false,false,0,,
TXN-000018,2026-03-08T07:05:41.720Z,434.06,Online Shopping,Seattle,Amex,ATM,ATM Machine,false,false,0,,
